"Site","Stream","precip","Date"
"SC16","Sycamore Creek",0,2008-01-07
"TC17","Turkey Creek",0,2008-01-07
"WC18","Walnut Creek",0,2008-01-07
"BDB1","Beaverdam Branch",0,2008-01-08
"BB2","Big Branch",0,2008-01-08
"BBS3","Big Branch South",0,2008-01-08
"CC4","Crabtree Creek",0,2008-01-08
"CC5","Crabtree Creek",0,2008-01-08
"HSC6","Hare Snipe Creek",0,2008-01-08
"HC7","House Creek",0,2008-01-08
"LBC8","Little Brier Creek",0,2008-01-08
"MC9","Marsh Creek",0,2008-01-08
"MC10","Mine Creek",0,2008-01-08
"PC11","Perry Creek",0,2008-01-08
"PHB12","Pigeon House Branch",0,2008-01-08
"RC13","Richland Creek",0,2008-01-08
"RC14","Richland Creek-WF",0,2008-01-08
"RB15","Rocky Branch",0,2008-01-08
"SC16","Sycamore Creek",0,2008-01-08
"TC17","Turkey Creek",0,2008-01-08
"WC18","Walnut Creek",0,2008-01-08
"BDB1","Beaverdam Branch",0,2008-01-09
"BB2","Big Branch",0,2008-01-09
"BBS3","Big Branch South",0,2008-01-09
"CC4","Crabtree Creek",0,2008-01-09
"CC5","Crabtree Creek",0,2008-01-09
"HSC6","Hare Snipe Creek",0,2008-01-09
"HC7","House Creek",0,2008-01-09
"LBC8","Little Brier Creek",0,2008-01-09
"MC9","Marsh Creek",0,2008-01-09
"MC10","Mine Creek",0,2008-01-09
"PC11","Perry Creek",0,2008-01-09
"PHB12","Pigeon House Branch",0,2008-01-09
"RC13","Richland Creek",0,2008-01-09
"RC14","Richland Creek-WF",0,2008-01-09
"RB15","Rocky Branch",0,2008-01-09
"SC16","Sycamore Creek",0,2008-01-09
"TC17","Turkey Creek",0,2008-01-09
"WC18","Walnut Creek",0,2008-01-09
"BDB1","Beaverdam Branch",0,2008-01-10
"BB2","Big Branch",0,2008-01-10
"BBS3","Big Branch South",0,2008-01-10
"CC4","Crabtree Creek",0,2008-01-10
"CC5","Crabtree Creek",0,2008-01-10
"HSC6","Hare Snipe Creek",0,2008-01-10
"HC7","House Creek",0,2008-01-10
"LBC8","Little Brier Creek",0,2008-01-10
"MC9","Marsh Creek",0,2008-01-10
"MC10","Mine Creek",0,2008-01-10
"PC11","Perry Creek",0,2008-01-10
"PHB12","Pigeon House Branch",0,2008-01-10
"RC13","Richland Creek",0,2008-01-10
"RC14","Richland Creek-WF",0,2008-01-10
"RB15","Rocky Branch",0.0160000007599592,2008-01-10
"SC16","Sycamore Creek",0,2008-01-10
"TC17","Turkey Creek",0,2008-01-10
"WC18","Walnut Creek",0,2008-01-10
"BDB1","Beaverdam Branch",0.250999987125397,2008-01-11
"BB2","Big Branch",0.00700000021606684,2008-01-11
"BBS3","Big Branch South",0,2008-01-11
"CC4","Crabtree Creek",0.554000020027161,2008-01-11
"CC5","Crabtree Creek",0,2008-01-11
"HSC6","Hare Snipe Creek",0.554000020027161,2008-01-11
"HC7","House Creek",0.250999987125397,2008-01-11
"LBC8","Little Brier Creek",2.47499990463257,2008-01-11
"MC9","Marsh Creek",0,2008-01-11
"MC10","Mine Creek",0.250999987125397,2008-01-11
"PC11","Perry Creek",0.261000007390976,2008-01-11
"PHB12","Pigeon House Branch",0,2008-01-11
"RC13","Richland Creek",0.554000020027161,2008-01-11
"RC14","Richland Creek-WF",1.64699995517731,2008-01-11
"RB15","Rocky Branch",0,2008-01-11
"SC16","Sycamore Creek",0.554000020027161,2008-01-11
"TC17","Turkey Creek",0.554000020027161,2008-01-11
"WC18","Walnut Creek",0.00700000021606684,2008-01-11
"BDB1","Beaverdam Branch",0,2008-01-12
"BB2","Big Branch",0,2008-01-12
"BBS3","Big Branch South",0,2008-01-12
"CC4","Crabtree Creek",0,2008-01-12
"CC5","Crabtree Creek",0,2008-01-12
"HSC6","Hare Snipe Creek",0,2008-01-12
"HC7","House Creek",0,2008-01-12
"LBC8","Little Brier Creek",0,2008-01-12
"MC9","Marsh Creek",0,2008-01-12
"MC10","Mine Creek",0,2008-01-12
"PC11","Perry Creek",0.119000002741814,2008-01-12
"PHB12","Pigeon House Branch",0,2008-01-12
"RC13","Richland Creek",0,2008-01-12
"RC14","Richland Creek-WF",0.0140000004321337,2008-01-12
"RB15","Rocky Branch",0,2008-01-12
"SC16","Sycamore Creek",0,2008-01-12
"TC17","Turkey Creek",0,2008-01-12
"WC18","Walnut Creek",0,2008-01-12
"BDB1","Beaverdam Branch",0,2008-01-13
"BB2","Big Branch",0,2008-01-13
"BBS3","Big Branch South",0,2008-01-13
"CC4","Crabtree Creek",0,2008-01-13
"CC5","Crabtree Creek",0,2008-01-13
"HSC6","Hare Snipe Creek",0,2008-01-13
"HC7","House Creek",0,2008-01-13
"LBC8","Little Brier Creek",0,2008-01-13
"MC9","Marsh Creek",0,2008-01-13
"MC10","Mine Creek",0,2008-01-13
"PC11","Perry Creek",0,2008-01-13
"PHB12","Pigeon House Branch",0,2008-01-13
"RC13","Richland Creek",0,2008-01-13
"RC14","Richland Creek-WF",0,2008-01-13
"RB15","Rocky Branch",0,2008-01-13
"SC16","Sycamore Creek",0,2008-01-13
"TC17","Turkey Creek",0,2008-01-13
"WC18","Walnut Creek",0,2008-01-13
"BDB1","Beaverdam Branch",0,2008-01-14
"BB2","Big Branch",0,2008-01-14
"BBS3","Big Branch South",0,2008-01-14
"CC4","Crabtree Creek",0,2008-01-14
"CC5","Crabtree Creek",0,2008-01-14
"HSC6","Hare Snipe Creek",0,2008-01-14
"HC7","House Creek",0,2008-01-14
"LBC8","Little Brier Creek",0,2008-01-14
"MC9","Marsh Creek",0,2008-01-14
"MC10","Mine Creek",0,2008-01-14
"PC11","Perry Creek",0,2008-01-14
"PHB12","Pigeon House Branch",0,2008-01-14
"RC13","Richland Creek",0,2008-01-14
"RC14","Richland Creek-WF",0,2008-01-14
"RB15","Rocky Branch",0,2008-01-14
"SC16","Sycamore Creek",0,2008-01-14
"TC17","Turkey Creek",0,2008-01-14
"WC18","Walnut Creek",0,2008-01-14
"BDB1","Beaverdam Branch",0,2008-01-15
"BB2","Big Branch",0,2008-01-15
"BBS3","Big Branch South",0,2008-01-15
"CC4","Crabtree Creek",0,2008-01-15
"CC5","Crabtree Creek",0,2008-01-15
"HSC6","Hare Snipe Creek",0,2008-01-15
"HC7","House Creek",0,2008-01-15
"LBC8","Little Brier Creek",0,2008-01-15
"MC9","Marsh Creek",0,2008-01-15
"MC10","Mine Creek",0,2008-01-15
"PC11","Perry Creek",0,2008-01-15
"PHB12","Pigeon House Branch",0,2008-01-15
"RC13","Richland Creek",0,2008-01-15
"RC14","Richland Creek-WF",0,2008-01-15
"RB15","Rocky Branch",0,2008-01-15
"SC16","Sycamore Creek",0,2008-01-15
"TC17","Turkey Creek",0,2008-01-15
"WC18","Walnut Creek",0,2008-01-15
"BDB1","Beaverdam Branch",0,2008-01-16
"BB2","Big Branch",0,2008-01-16
"BBS3","Big Branch South",0,2008-01-16
"CC4","Crabtree Creek",0,2008-01-16
"CC5","Crabtree Creek",0,2008-01-16
"HSC6","Hare Snipe Creek",0,2008-01-16
"HC7","House Creek",0,2008-01-16
"LBC8","Little Brier Creek",0,2008-01-16
"MC9","Marsh Creek",0,2008-01-16
"MC10","Mine Creek",0,2008-01-16
"PC11","Perry Creek",0,2008-01-16
"PHB12","Pigeon House Branch",0,2008-01-16
"RC13","Richland Creek",0,2008-01-16
"RC14","Richland Creek-WF",0,2008-01-16
"RB15","Rocky Branch",0,2008-01-16
"SC16","Sycamore Creek",0,2008-01-16
"TC17","Turkey Creek",0,2008-01-16
"WC18","Walnut Creek",0,2008-01-16
"BDB1","Beaverdam Branch",1.01900005340576,2008-01-17
"BB2","Big Branch",0.850000023841858,2008-01-17
"BBS3","Big Branch South",0.856000006198883,2008-01-17
"CC4","Crabtree Creek",0.998000025749207,2008-01-17
"CC5","Crabtree Creek",0.857999980449677,2008-01-17
"HSC6","Hare Snipe Creek",0.998000025749207,2008-01-17
"HC7","House Creek",1.01900005340576,2008-01-17
"LBC8","Little Brier Creek",1.09500002861023,2008-01-17
"MC9","Marsh Creek",0.857999980449677,2008-01-17
"MC10","Mine Creek",1.01900005340576,2008-01-17
"PC11","Perry Creek",0.968999981880188,2008-01-17
"PHB12","Pigeon House Branch",0.899999976158142,2008-01-17
"RC13","Richland Creek",0.998000025749207,2008-01-17
"RC14","Richland Creek-WF",0.976999998092651,2008-01-17
"RB15","Rocky Branch",0.913999974727631,2008-01-17
"SC16","Sycamore Creek",0.998000025749207,2008-01-17
"TC17","Turkey Creek",0.998000025749207,2008-01-17
"WC18","Walnut Creek",0.883000016212463,2008-01-17
"BDB1","Beaverdam Branch",11.7180004119873,2008-01-18
"BB2","Big Branch",12.0550003051758,2008-01-18
"BBS3","Big Branch South",10.3109998703003,2008-01-18
"CC4","Crabtree Creek",12.0959997177124,2008-01-18
"CC5","Crabtree Creek",10.7080001831055,2008-01-18
"HSC6","Hare Snipe Creek",12.0959997177124,2008-01-18
"HC7","House Creek",11.7180004119873,2008-01-18
"LBC8","Little Brier Creek",12.9270000457764,2008-01-18
"MC9","Marsh Creek",10.7080001831055,2008-01-18
"MC10","Mine Creek",11.7180004119873,2008-01-18
"PC11","Perry Creek",12.3129997253418,2008-01-18
"PHB12","Pigeon House Branch",11.3959999084473,2008-01-18
"RC13","Richland Creek",12.0959997177124,2008-01-18
"RC14","Richland Creek-WF",11.9680004119873,2008-01-18
"RB15","Rocky Branch",11.2399997711182,2008-01-18
"SC16","Sycamore Creek",12.0959997177124,2008-01-18
"TC17","Turkey Creek",12.0959997177124,2008-01-18
"WC18","Walnut Creek",9.46700000762939,2008-01-18
"BDB1","Beaverdam Branch",0.270000010728836,2008-01-19
"BB2","Big Branch",0.314000010490417,2008-01-19
"BBS3","Big Branch South",0.47299998998642,2008-01-19
"CC4","Crabtree Creek",0.162000000476837,2008-01-19
"CC5","Crabtree Creek",0.388000011444092,2008-01-19
"HSC6","Hare Snipe Creek",0.162000000476837,2008-01-19
"HC7","House Creek",0.270000010728836,2008-01-19
"LBC8","Little Brier Creek",0.00300000002607703,2008-01-19
"MC9","Marsh Creek",0.388000011444092,2008-01-19
"MC10","Mine Creek",0.270000010728836,2008-01-19
"PC11","Perry Creek",0.519999980926514,2008-01-19
"PHB12","Pigeon House Branch",0.400999993085861,2008-01-19
"RC13","Richland Creek",0.162000000476837,2008-01-19
"RC14","Richland Creek-WF",0.26800000667572,2008-01-19
"RB15","Rocky Branch",0.391000002622604,2008-01-19
"SC16","Sycamore Creek",0.162000000476837,2008-01-19
"TC17","Turkey Creek",0.162000000476837,2008-01-19
"WC18","Walnut Creek",0.647000014781952,2008-01-19
"BDB1","Beaverdam Branch",7.74700021743774,2008-01-20
"BB2","Big Branch",8.20199966430664,2008-01-20
"BBS3","Big Branch South",9.6540002822876,2008-01-20
"CC4","Crabtree Creek",7.98999977111816,2008-01-20
"CC5","Crabtree Creek",9.2189998626709,2008-01-20
"HSC6","Hare Snipe Creek",7.98999977111816,2008-01-20
"HC7","House Creek",7.74700021743774,2008-01-20
"LBC8","Little Brier Creek",7.34100008010864,2008-01-20
"MC9","Marsh Creek",9.2189998626709,2008-01-20
"MC10","Mine Creek",7.74700021743774,2008-01-20
"PC11","Perry Creek",9.34500026702881,2008-01-20
"PHB12","Pigeon House Branch",8.76500034332275,2008-01-20
"RC13","Richland Creek",7.98999977111816,2008-01-20
"RC14","Richland Creek-WF",7.84499979019165,2008-01-20
"RB15","Rocky Branch",9.2810001373291,2008-01-20
"SC16","Sycamore Creek",7.98999977111816,2008-01-20
"TC17","Turkey Creek",7.98999977111816,2008-01-20
"WC18","Walnut Creek",9.91100025177002,2008-01-20
"BDB1","Beaverdam Branch",0,2008-01-21
"BB2","Big Branch",0,2008-01-21
"BBS3","Big Branch South",0,2008-01-21
"CC4","Crabtree Creek",0,2008-01-21
"CC5","Crabtree Creek",0,2008-01-21
"HSC6","Hare Snipe Creek",0,2008-01-21
"HC7","House Creek",0,2008-01-21
"LBC8","Little Brier Creek",0,2008-01-21
"MC9","Marsh Creek",0,2008-01-21
"MC10","Mine Creek",0,2008-01-21
"PC11","Perry Creek",0,2008-01-21
"PHB12","Pigeon House Branch",0,2008-01-21
"RC13","Richland Creek",0,2008-01-21
"RC14","Richland Creek-WF",0,2008-01-21
"RB15","Rocky Branch",0,2008-01-21
"SC16","Sycamore Creek",0,2008-01-21
"TC17","Turkey Creek",0,2008-01-21
"WC18","Walnut Creek",0,2008-01-21
"BDB1","Beaverdam Branch",0.0020000000949949,2008-01-22
"BB2","Big Branch",0,2008-01-22
"BBS3","Big Branch South",0,2008-01-22
"CC4","Crabtree Creek",0.27700001001358,2008-01-22
"CC5","Crabtree Creek",0,2008-01-22
"HSC6","Hare Snipe Creek",0.27700001001358,2008-01-22
"HC7","House Creek",0.0020000000949949,2008-01-22
"LBC8","Little Brier Creek",0,2008-01-22
"MC9","Marsh Creek",0,2008-01-22
"MC10","Mine Creek",0.0020000000949949,2008-01-22
"PC11","Perry Creek",0,2008-01-22
"PHB12","Pigeon House Branch",0.00600000005215406,2008-01-22
"RC13","Richland Creek",0.27700001001358,2008-01-22
"RC14","Richland Creek-WF",0,2008-01-22
"RB15","Rocky Branch",0,2008-01-22
"SC16","Sycamore Creek",0.27700001001358,2008-01-22
"TC17","Turkey Creek",0.27700001001358,2008-01-22
"WC18","Walnut Creek",0,2008-01-22
"BDB1","Beaverdam Branch",2.40300011634827,2008-01-23
"BB2","Big Branch",2.57599997520447,2008-01-23
"BBS3","Big Branch South",2.16100001335144,2008-01-23
"CC4","Crabtree Creek",2.35700011253357,2008-01-23
"CC5","Crabtree Creek",2.20000004768372,2008-01-23
"HSC6","Hare Snipe Creek",2.35700011253357,2008-01-23
"HC7","House Creek",2.40300011634827,2008-01-23
"LBC8","Little Brier Creek",3.30599999427795,2008-01-23
"MC9","Marsh Creek",2.20000004768372,2008-01-23
"MC10","Mine Creek",2.40300011634827,2008-01-23
"PC11","Perry Creek",3.06599998474121,2008-01-23
"PHB12","Pigeon House Branch",2.21700000762939,2008-01-23
"RC13","Richland Creek",2.35700011253357,2008-01-23
"RC14","Richland Creek-WF",3.69400000572205,2008-01-23
"RB15","Rocky Branch",2.20099997520447,2008-01-23
"SC16","Sycamore Creek",2.35700011253357,2008-01-23
"TC17","Turkey Creek",2.35700011253357,2008-01-23
"WC18","Walnut Creek",1.99199998378754,2008-01-23
"BDB1","Beaverdam Branch",0,2008-01-24
"BB2","Big Branch",0,2008-01-24
"BBS3","Big Branch South",0,2008-01-24
"CC4","Crabtree Creek",0,2008-01-24
"CC5","Crabtree Creek",0,2008-01-24
"HSC6","Hare Snipe Creek",0,2008-01-24
"HC7","House Creek",0,2008-01-24
"LBC8","Little Brier Creek",0,2008-01-24
"MC9","Marsh Creek",0,2008-01-24
"MC10","Mine Creek",0,2008-01-24
"PC11","Perry Creek",0,2008-01-24
"PHB12","Pigeon House Branch",0,2008-01-24
"RC13","Richland Creek",0,2008-01-24
"RC14","Richland Creek-WF",0,2008-01-24
"RB15","Rocky Branch",0,2008-01-24
"SC16","Sycamore Creek",0,2008-01-24
"TC17","Turkey Creek",0,2008-01-24
"WC18","Walnut Creek",0,2008-01-24
"BDB1","Beaverdam Branch",0,2008-01-25
"BB2","Big Branch",0,2008-01-25
"BBS3","Big Branch South",0,2008-01-25
"CC4","Crabtree Creek",0,2008-01-25
"CC5","Crabtree Creek",0,2008-01-25
"HSC6","Hare Snipe Creek",0,2008-01-25
"HC7","House Creek",0,2008-01-25
"LBC8","Little Brier Creek",0,2008-01-25
"MC9","Marsh Creek",0,2008-01-25
"MC10","Mine Creek",0,2008-01-25
"PC11","Perry Creek",0,2008-01-25
"PHB12","Pigeon House Branch",0,2008-01-25
"RC13","Richland Creek",0,2008-01-25
"RC14","Richland Creek-WF",0,2008-01-25
"RB15","Rocky Branch",0,2008-01-25
"SC16","Sycamore Creek",0,2008-01-25
"TC17","Turkey Creek",0,2008-01-25
"WC18","Walnut Creek",0,2008-01-25
"BDB1","Beaverdam Branch",0,2008-01-26
"BB2","Big Branch",0,2008-01-26
"BBS3","Big Branch South",0,2008-01-26
"CC4","Crabtree Creek",0,2008-01-26
"CC5","Crabtree Creek",0,2008-01-26
"HSC6","Hare Snipe Creek",0,2008-01-26
"HC7","House Creek",0,2008-01-26
"LBC8","Little Brier Creek",0,2008-01-26
"MC9","Marsh Creek",0,2008-01-26
"MC10","Mine Creek",0,2008-01-26
"PC11","Perry Creek",0,2008-01-26
"PHB12","Pigeon House Branch",0,2008-01-26
"RC13","Richland Creek",0,2008-01-26
"RC14","Richland Creek-WF",0,2008-01-26
"RB15","Rocky Branch",0,2008-01-26
"SC16","Sycamore Creek",0,2008-01-26
"TC17","Turkey Creek",0,2008-01-26
"WC18","Walnut Creek",0,2008-01-26
"BDB1","Beaverdam Branch",0,2008-01-27
"BB2","Big Branch",0,2008-01-27
"BBS3","Big Branch South",0,2008-01-27
"CC4","Crabtree Creek",0,2008-01-27
"CC5","Crabtree Creek",0,2008-01-27
"HSC6","Hare Snipe Creek",0,2008-01-27
"HC7","House Creek",0,2008-01-27
"LBC8","Little Brier Creek",0,2008-01-27
"MC9","Marsh Creek",0,2008-01-27
"MC10","Mine Creek",0,2008-01-27
"PC11","Perry Creek",0,2008-01-27
"PHB12","Pigeon House Branch",0,2008-01-27
"RC13","Richland Creek",0,2008-01-27
"RC14","Richland Creek-WF",0,2008-01-27
"RB15","Rocky Branch",0,2008-01-27
"SC16","Sycamore Creek",0,2008-01-27
"TC17","Turkey Creek",0,2008-01-27
"WC18","Walnut Creek",0,2008-01-27
"BDB1","Beaverdam Branch",0,2008-01-28
"BB2","Big Branch",0,2008-01-28
"BBS3","Big Branch South",0,2008-01-28
"CC4","Crabtree Creek",0,2008-01-28
"CC5","Crabtree Creek",0,2008-01-28
"HSC6","Hare Snipe Creek",0,2008-01-28
"HC7","House Creek",0,2008-01-28
"LBC8","Little Brier Creek",0,2008-01-28
"MC9","Marsh Creek",0,2008-01-28
"MC10","Mine Creek",0,2008-01-28
"PC11","Perry Creek",0,2008-01-28
"PHB12","Pigeon House Branch",0,2008-01-28
"RC13","Richland Creek",0,2008-01-28
"RC14","Richland Creek-WF",0,2008-01-28
"RB15","Rocky Branch",0,2008-01-28
"SC16","Sycamore Creek",0,2008-01-28
"TC17","Turkey Creek",0,2008-01-28
"WC18","Walnut Creek",0,2008-01-28
"BDB1","Beaverdam Branch",0,2008-01-29
"BB2","Big Branch",0,2008-01-29
"BBS3","Big Branch South",0,2008-01-29
"CC4","Crabtree Creek",0,2008-01-29
"CC5","Crabtree Creek",0,2008-01-29
"HSC6","Hare Snipe Creek",0,2008-01-29
"HC7","House Creek",0,2008-01-29
"LBC8","Little Brier Creek",0,2008-01-29
"MC9","Marsh Creek",0,2008-01-29
"MC10","Mine Creek",0,2008-01-29
"PC11","Perry Creek",0,2008-01-29
"PHB12","Pigeon House Branch",0,2008-01-29
"RC13","Richland Creek",0,2008-01-29
"RC14","Richland Creek-WF",0,2008-01-29
"RB15","Rocky Branch",0,2008-01-29
"SC16","Sycamore Creek",0,2008-01-29
"TC17","Turkey Creek",0,2008-01-29
"WC18","Walnut Creek",0,2008-01-29
"BDB1","Beaverdam Branch",2.84800004959106,2008-01-30
"BB2","Big Branch",2.73600006103516,2008-01-30
"BBS3","Big Branch South",2.78299999237061,2008-01-30
"CC4","Crabtree Creek",3.09400010108948,2008-01-30
"CC5","Crabtree Creek",2.68499994277954,2008-01-30
"HSC6","Hare Snipe Creek",3.09400010108948,2008-01-30
"HC7","House Creek",2.84800004959106,2008-01-30
"LBC8","Little Brier Creek",4.13500022888184,2008-01-30
"MC9","Marsh Creek",2.68499994277954,2008-01-30
"MC10","Mine Creek",2.84800004959106,2008-01-30
"PC11","Perry Creek",2.50500011444092,2008-01-30
"PHB12","Pigeon House Branch",2.75200009346008,2008-01-30
"RC13","Richland Creek",3.09400010108948,2008-01-30
"RC14","Richland Creek-WF",1.85000002384186,2008-01-30
"RB15","Rocky Branch",2.84200000762939,2008-01-30
"SC16","Sycamore Creek",3.09400010108948,2008-01-30
"TC17","Turkey Creek",3.09400010108948,2008-01-30
"WC18","Walnut Creek",2.79900002479553,2008-01-30
"BDB1","Beaverdam Branch",0,2008-01-31
"BB2","Big Branch",0,2008-01-31
"BBS3","Big Branch South",0,2008-01-31
"CC4","Crabtree Creek",0,2008-01-31
"CC5","Crabtree Creek",0,2008-01-31
"HSC6","Hare Snipe Creek",0,2008-01-31
"HC7","House Creek",0,2008-01-31
"LBC8","Little Brier Creek",0,2008-01-31
"MC9","Marsh Creek",0,2008-01-31
"MC10","Mine Creek",0,2008-01-31
"PC11","Perry Creek",0,2008-01-31
"PHB12","Pigeon House Branch",0,2008-01-31
"RC13","Richland Creek",0,2008-01-31
"RC14","Richland Creek-WF",0,2008-01-31
"RB15","Rocky Branch",0,2008-01-31
"SC16","Sycamore Creek",0,2008-01-31
"TC17","Turkey Creek",0,2008-01-31
"WC18","Walnut Creek",0,2008-01-31
"BDB1","Beaverdam Branch",7.03900003433228,2008-02-01
"BB2","Big Branch",7.1230001449585,2008-02-01
"BBS3","Big Branch South",7.8270001411438,2008-02-01
"CC4","Crabtree Creek",7.42600011825562,2008-02-01
"CC5","Crabtree Creek",7.38700008392334,2008-02-01
"HSC6","Hare Snipe Creek",7.42600011825562,2008-02-01
"HC7","House Creek",7.03900003433228,2008-02-01
"LBC8","Little Brier Creek",11.0670003890991,2008-02-01
"MC9","Marsh Creek",7.38700008392334,2008-02-01
"MC10","Mine Creek",7.03900003433228,2008-02-01
"PC11","Perry Creek",7.79300022125244,2008-02-01
"PHB12","Pigeon House Branch",7.06699991226196,2008-02-01
"RC13","Richland Creek",7.42600011825562,2008-02-01
"RC14","Richland Creek-WF",8.16100025177002,2008-02-01
"RB15","Rocky Branch",7.30399990081787,2008-02-01
"SC16","Sycamore Creek",7.42600011825562,2008-02-01
"TC17","Turkey Creek",7.42600011825562,2008-02-01
"WC18","Walnut Creek",8.49199962615967,2008-02-01
"BDB1","Beaverdam Branch",7.75500011444092,2008-02-02
"BB2","Big Branch",7.2189998626709,2008-02-02
"BBS3","Big Branch South",5.88299989700317,2008-02-02
